date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2023-05-11,KKR,RR,YBK Jaiswal,RR,9 wickets,RR,field,eden gardens,kolkata,11,5,2023,2023,no super over,no super over,no super over,56,simple matches,150,151.0,0,KKR,0
2023-05-12,MI,GT,SA Yadav,MI,27 runs,GT,field,wankhede stadium,mumbai,12,5,2023,2023,no super over,no super over,no super over,57,simple matches,219,191.0,0,MI,1
2023-05-13,SRH,LSG,PN Mankad,LSG,7 wickets,SRH,bat,rajiv gandhi international stadium,hyderabad,13,5,2023,2023,no super over,no super over,no super over,58,simple matches,183,185.0,0,SRH,0
2023-05-13,KXP,DC,P Simran Singh,KXP,31 runs,DC,field,arun jaitley stadium,delhi,13,5,2023,2023,no super over,no super over,no super over,59,simple matches,168,136.0,0,DC,0
2023-05-14,RCB,RR,WD Parnell,RCB,112 runs,RCB,bat,sawai mansingh stadium,jaipur,14,5,2023,2023,no super over,no super over,no super over,60,simple matches,172,59.0,0,RR,0
2023-05-14,CSK,KKR,RK Singh,KKR,6 wickets,CSK,bat,ma chidambaram stadium,chennai,14,5,2023,2023,no super over,no super over,no super over,61,simple matches,145,147.0,0,CSK,0
2023-05-15,GT,SRH,Shubman Gill,GT,34 runs,SRH,field,narendra modi stadium,ahmedabad,15,5,2023,2023,no super over,no super over,no super over,62,simple matches,189,154.0,0,GT,1
2023-05-16,LSG,MI,MP Stoinis,LSG,5 runs,MI,field,bharat ratna shri atal bihari vajpayee ekana cricket stadium,lucknow,16,5,2023,2023,no super over,no super over,no super over,63,simple matches,178,172.0,0,no super over,0
2023-05-17,DC,KXP,RR Rossouw,DC,15 runs,KXP,field,himachal pradesh cricket association stadium,dharamsala,17,5,2023,2023,no super over,no super over,no super over,64,simple matches,214,198.0,0,no super over,0
2023-05-18,SRH,RCB,V Kohli,RCB,8 wickets,RCB,field,rajiv gandhi international stadium,hyderabad,18,5,2023,2023,no super over,no super over,no super over,65,simple matches,187,187.0,0,SRH,0
2023-05-19,KXP,RR,D Padikkal,RR,4 wickets,RR,field,himachal pradesh cricket association stadium,dharamsala,19,5,2023,2023,no super over,no super over,no super over,66,simple matches,188,189.0,0,no super over,0
2023-05-20,CSK,DC,RD Gaikwad,CSK,77 runs,CSK,bat,arun jaitley stadium,delhi,20,5,2023,2023,no super over,no super over,no super over,67,simple matches,224,146.0,0,DC,0
2023-05-20,LSG,KKR,N Pooran,LSG,1 runs,KKR,field,eden gardens,kolkata,20,5,2023,2023,no super over,no super over,no super over,68,simple matches,177,175.0,0,KKR,0
2023-05-21,SRH,MI,C Green,MI,8 wickets,MI,field,wankhede stadium,mumbai,21,5,2023,2023,no super over,no super over,no super over,69,simple matches,201,201.0,0,MI,1
